label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C100,36.081971,140.0797927,307.408609194804,-115.004165938618,-0.817573344625646,0,0,-0.998403536714056,-0.047935745893483,2,2,0,0,1,307.408609194804,-115.004165938618,306.55648086447,-114.944356679822,36.954435417603,0.854224700412684
C100-C4_1,36.0819711,140.0797927,307.408609194804,-114.993033989409,-0.812975243821244,0,0,-0.999070078880489,0.029604932494298,2,2,0,0,1,307.408609194804,-114.993033989409,306.127157471948,-114.987904567427,36.7410320243536,1.28146198889417
C100-C4_2,36.0819711,140.0797928,307.417605644271,-114.993033989409,-0.805097808581994,0,0,-0.8246488011737,0.563926679995063,2,2,0,0,1,307.417605644271,-114.993033989409,306.267583067556,-115.045417199972,36.7380082458112,1.1512149789263
C100-C4_3,36.0819349,140.0798031,308.344239729791,-119.022799555759,-0.582457397815675,0,0,-0.52175986505541,0.852231555427466,2,2,0,0,1,308.344239729791,-119.022799555759,307.226955179942,-118.964777553221,37.1021630088576,1.11879011351998
C100-C4_4,36.0819008,140.0798137,309.297863158601,-122.818794191876,-0.352508935769289,0,0,-0.425079199716121,0.904065624033684,2,2,0,0,1,309.297863158601,-122.818794191876,308.378780997407,-122.834511261302,37.3610396212083,0.919216538850622
C100-C4_5,36.0818664,140.0798306,310.818262776038,-126.648184675621,-0.166880425931119,0,0,-0.618293071304788,0.784968408323695,2,2,0,0,1,310.818262776038,-126.648184675621,309.836844136223,-126.564707007308,37.7407674055681,0.984962470189836
C100-C4_6,36.0818295,140.0798403,311.690918180092,-130.755873885646,0.041509782271158,0,0,-0.599827627705692,0.799239901153957,2,2,0,0,1,311.690918180092,-130.755873885646,310.717783418894,-130.507264500144,38.1543012722987,1.0043893119765
C100-C4_7,36.0817933,140.0798434,311.969808049672,-134.785639451996,0.281447970793695,0,0,-0.66325878521734,0.74735653040603,2,2,0,0,1,311.969808049672,-134.785639451996,311.020973059155,-134.58422342906,38.3195758854744,0.969977450008852
C100-C4_8,36.0817551,140.0798467,312.266690815631,-139.038044000953,0.481228038827732,0,0,-0.658181812017665,0.751899643061711,2,2,0,0,1,312.266690815631,-139.038044000953,311.299221120521,-138.628415285083,38.7130733579785,1.05061567465073
C100-C4_9,36.0817189,140.0798506,312.617552265612,-143.067809567304,0.69173248531895,0,0,-0.625106457018811,0.779486782752389,2,2,0,0,1,312.617552265612,-143.067809567304,311.735207397753,-142.631340278504,38.9884050152014,0.984397229731703
C100-C4_10,36.0816833,140.0798493,312.500598450657,-147.030783439188,0.957455848949936,0,0,-0.716236780197429,0.696389093325931,2,2,0,0,1,312.500598450657,-147.030783439188,311.629508245305,-146.66303276717,39.0990600794844,0.945536198476635
C100-C4_11,36.0816473,140.0798398,311.645935942981,-151.038285107911,1.23215589782131,0,0,-0.67831896285587,0.733755127549687,2,2,0,0,1,311.645935942981,-151.038285107911,310.855890917881,-150.699231022735,39.2090030090828,0.859726011215126
C100-C4_12,36.0816072,140.0798422,311.861850681628,-155.502196688683,1.5006517435688,0,0,-0.632732765571392,0.772979323490712,2,2,0,0,1,311.861850681628,-155.502196688683,311.201040268957,-154.818122832248,39.8096033538794,0.951119047518299
C100-C4_13,36.0815719,140.0798449,312.104754761007,-159.43177471373,1.75133111692215,0,0,-0.679975796100143,0.732024917527303,2,2,0,0,1,312.104754761007,-159.43177471373,311.403577042984,-158.912604443347,39.8624026633812,0.872460865541455
C4,36.0815436,140.0798466,312.25769436872,-162.58211630361,1.92557054042603,0,0,-0.68691873464866,0.725414455331753,2,2,0,0,1,312.25769436872,-162.58211630361,311.582594408573,-161.761786754356,40.3099936563777,1.06240318409252
