label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C11,36.081627,140.0810126,417.156271576123,-153.29807077132,2.62056197729669,0,0,0.689111111711418,0.724188752416104,2,2,0,0,1,417.156271576123,-153.29807077132,416.839246960134,-153.634136977032,49.9841434486056,0.462001192384216
C11-C102_1,36.0816392,140.081016,417.46215079155,-151.939972983591,2.56302210472884,0,0,0.530345044420602,0.847429696672106,2,2,0,0,1,417.46215079155,-151.939972983591,417.263052114351,-152.054107931089,50.2147064621293,0.229493070707423
C11-C102_2,36.0816746,140.0810216,417.965951846688,-147.999263009334,2.28318292152752,0,0,0.695859239359146,0.717694799031615,2,2,0,0,1,417.965951846688,-147.999263009334,417.780571487829,-148.029291548544,50.2015808796263,0.187796673606167
C11-C102_3,36.0817104,140.0810145,417.327204077659,-144.01402523903,1.99629686505518,0,0,0.796482045392167,0.604258050544901,2,2,0,0,1,417.327204077659,-144.01402523903,417.284709496968,-144.038742541112,50.0441314907108,0.049160293024613
C11-C102_4,36.0817449,140.0810176,417.606093949795,-140.173502806867,1.68895934604325,0,0,0.715716608040051,0.697918989448513,2,2,0,0,1,417.606093949795,-140.173502806867,417.482320519448,-140.035500241057,50.0551022982662,0.185376833046314
C11-C102_5,36.0817814,140.0810185,417.687061977107,-136.110341392889,1.41110295428358,0,0,0.718276584053309,0.695292755323302,2,2,0,0,1,417.687061977107,-136.110341392889,417.592708913978,-136.024228146649,49.8827472054958,0.127741894849476
C11-C102_6,36.0818174,140.0810284,418.577710272427,-132.102839724166,1.13628511258242,0,0,0.504811303868319,0.862671375871025,2,2,0,0,1,418.577710272427,-132.102839724166,418.518328226035,-132.115197866213,49.7614317282695,0.060654357704573
C11-C102_7,36.0818542,140.0810285,418.586706721895,-128.00628246335,0.871042983443165,0,0,0.716440484035952,0.697121028198622,2,2,0,0,1,418.586706721895,-128.00628246335,418.595793717612,-128.026369586098,49.6414046642924,0.022046904351409
C11-C102_8,36.0818927,140.0810268,418.433767114181,-123.720482067556,0.560804613590681,0,0,0.706122176949738,0.707539141857157,2,2,0,0,1,418.433767114181,-123.720482067556,418.54779044492,-123.904632721088,49.3658867605896,0.216593589814571
C11-C102_9,36.0819288,140.0810294,418.667674749207,-119.701848449624,0.257376134652791,0,0,0.707970791573483,0.705848488435535,2,2,0,0,1,418.667674749207,-119.701848449624,418.738078121371,-119.816488407531,49.3136607796762,0.134532355814719
C102,36.0819504,140.0810294,418.667674749207,-117.297347448865,0.086492191358502,0,0,0.728703022396602,0.684398164773858,2,2,0,0,1,418.667674749207,-117.297347448865,418.724098794953,-117.478400580554,49.1714770400759,0.189641528766182
