label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C1,36.0815652,140.0796152,291.439914981864,-160.177615302061,1.92134482532303,0,0,-0.999317436814064,-0.017050122920996,2,2,0,0,1,291.439914981864,-160.177615302061,291.139418102938,-159.538250677055,38.1138548658613,0.706459834635207
C1-C4_1,36.081566,140.0796144,291.367943401463,-160.088559709967,1.9294181332949,0,0,-0.854999576651133,-0.518056181766681,2,2,0,0,1,291.367943401463,-160.088559709967,290.973190225621,-159.549627733479,37.967216736404,0.668040227170432
C1-C4_2,36.0815671,140.0796142,291.349950505084,-159.966108269455,1.90150624688127,0,0,-0.474544940332498,-0.879990894175442,2,2,0,0,1,291.349950505084,-159.966108269455,290.981722105828,-159.337416980421,38.0494969768203,0.728591031323899
C1-C4_3,36.0815685,140.0796518,294.732614745586,-159.810260982896,1.92014844002653,0,0,0.041910007772313,-0.998617317340642,2,2,0,0,1,294.732614745586,-159.810260982896,294.46508662322,-159.409955323632,38.2369887081356,0.481472654565962
C1-C4_4,36.081558,140.0796901,298.178254117021,-160.979115635647,1.95243100832114,0,0,0.061972924409894,-0.997650748439172,2,2,0,0,1,298.178254117021,-160.979115635647,298.331197042633,-160.468693225818,38.9565999577373,0.532843856068746
C1-C4_5,36.0815527,140.0797398,302.649488497667,-161.569108937418,1.95896664258111,0,0,-0.000136041778104,-0.999435461168742,2,2,0,0,1,302.649488497667,-161.569108937418,302.30694942153,-161.242012600386,39.0239769854116,0.473629636298989
C1-C4_6,36.0815529,140.0797831,306.544950240217,-161.546845038999,1.9528741563117,0,0,-0.1571787604116,-0.987050137207602,2,2,0,0,1,306.544950240217,-161.546845038999,306.362211949895,-161.198701528007,39.5147891450816,0.39318848787293
C1-C4_7,36.0815491,140.0798293,310.701308961082,-161.969859104211,1.93995279193499,0,0,0.052084092752767,-0.998075021404506,2,2,0,0,1,310.701308961082,-161.969859104211,310.363868870532,-161.72081516626,39.7926366151947,0.419390865114163
C4,36.0815492,140.0798405,311.708911073914,-161.958727155002,1.93869389977636,0,0,-0.177364208686042,-0.98374027936844,2,2,0,0,1,311.708911073914,-161.958727155002,311.37994110295,-161.754938400895,39.8591198638994,0.386976870235061
