label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C10,36.080017,140.0808861,405.775765558785,-332.522450948429,11.7621904195701,0,0,-0.245359123265153,-0.968821672415318,2,2,0,0,1,405.775765558785,-332.522450948429,403.637807253279,-332.238162652592,58.3044484978329,2.15677665770821
C10-C18_1,36.0800169,140.0808909,406.207595036079,-332.533582897638,11.7902370695104,0,0,0.366669424184158,-0.928993889337878,2,2,0,0,1,406.207595036079,-332.533582897638,404.074056022959,-332.419090166764,58.2185477210791,2.13660883315795
C10-C18_2,36.0799891,140.0809215,408.960507954462,-335.628264741471,12.0225811090221,0,0,0.400552565538752,-0.915331738628228,2,2,0,0,1,408.960507954462,-335.628264741471,406.596345070227,-335.723977735667,58.3704294533853,2.36609955844135
C10-C18_3,36.0799669,140.0809587,412.307186404764,-338.099557437487,12.1852855865072,0,0,0.347923074561793,-0.936666606242535,2,2,0,0,1,412.307186404764,-338.099557437487,409.77703360741,-338.286046470553,58.6649261565828,2.53701622726603
C10-C18_4,36.0799504,140.0809991,415.941751171556,-339.936329034893,12.3575340323159,0,0,0.258825053816052,-0.965004462694637,2,2,0,0,1,415.941751171556,-339.936329034893,413.279831415679,-340.26092228445,58.9280723336204,2.68163710527403
C10-C18_5,36.0799348,140.0810434,419.927177390886,-341.672913091788,12.5502572034188,0,0,0.186122715432067,-0.981670058295793,2,2,0,0,1,419.927177390886,-341.672913091788,416.96837059832,-342.288791960108,58.9922624069003,3.0222250770214
C10-C18_6,36.0799138,140.0810769,422.940987285028,-344.010622398081,12.7607554697354,0,0,0.186980272563172,-0.981324324827646,2,2,0,0,1,422.940987285028,-344.010622398081,420.049892118796,-344.957412132925,59.2186835744917,3.04217719112689
C10-C18_7,36.0798972,140.0811145,426.323651522973,-345.858525945488,12.9836154773884,0,0,0.159210454098382,-0.986437639959623,2,2,0,0,1,426.323651522973,-345.858525945488,423.156677043351,-347.56348494508,58.8973873525214,3.59675027557742
C10-C18_8,36.0798836,140.0811525,429.742301553675,-347.372471020568,13.1817235772026,0,0,0.321960306747451,-0.945830252432747,2,2,0,0,1,429.742301553675,-347.372471020568,426.336803204964,-350.098288705713,58.384501019712,4.36205239030092
C10-C18_9,36.0798701,140.081192,433.295898293155,-348.875284145646,13.3856867428178,0,0,0.218049321962269,-0.974914699517785,2,2,0,0,1,433.295898293155,-348.875284145646,429.673362297956,-352.423067054689,58.0479275420226,5.07045664671409
C10-C18_10,36.0798504,140.0812267,436.417665557899,-351.06827811459,13.5907962391053,0,0,0.25575847122411,-0.96584444196354,2,2,0,0,1,436.417665557899,-351.06827811459,432.935269744211,-355.062834285686,58.2414039773666,5.29939238094614
C10-C18_11,36.0798237,140.0812649,439.854308482423,-354.040508518702,13.8041619711239,0,0,0.276973388148074,-0.959841353936729,2,2,0,0,1,439.854308482423,-354.040508518702,436.423068918134,-357.086084312452,59.497233047803,4.58791203741109
C18,36.0798105,140.0812774,440.978864412768,-355.509925796943,13.8860376492708,0,0,0.391053969074355,-0.919420617495379,2,2,0,0,1,440.978864412768,-355.509925796943,437.404197945174,-358.192940174819,59.8773633046866,4.46954209135945
