label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C13,36.0812286,140.0809226,409.059468875596,-197.647755903548,4.79453408458829,0,0,0.492229127241374,0.868661416277684,1,1,0,0,1,409.059468875596,-197.647755903548,409.668012974891,-198.215202419869,51.34416802269,0.832058573461173
C13-C14_1,36.0812297,140.0809253,409.302372957533,-197.525304463036,4.88760681468325,0,0,-0.047491400498712,0.997599511927321,1,1,0,0,1,409.302372957533,-197.525304463036,409.854675420699,-196.947673472761,52.3307030704235,0.799184316503399
C13-C14_2,36.0812131,140.0809614,412.5500904867,-199.373208010443,5.18129202739987,0,0,-0.358939114819411,0.930708442025233,1,1,0,0,1,412.5500904867,-199.373208010443,413.051127186626,-199.404577434306,52.198025104107,0.502017744134794
C13-C14_3,36.0811868,140.0809784,414.079486551048,-202.300910618507,5.48993098364178,0,0,-0.775457450096826,0.628474130505047,1,1,0,0,1,414.079486551048,-202.300910618507,414.423442071006,-202.309377572988,52.4432128637553,0.34405971724048
C13-C14_4,36.081145,140.080978,414.043500760848,-206.954065333466,5.7832701872233,0,0,-0.656080275908,0.754335399103837,1,1,0,0,1,414.043500760848,-206.954065333466,414.763573870847,-206.343176758134,53.4006366290094,0.944293458208706
C13-C14_5,36.081112,140.0809917,415.276014061794,-210.627608529861,5.87642237921487,0,0,-0.539921837904417,0.841465296799127,1,1,0,0,1,415.276014061794,-210.627608529861,415.907653258712,-210.360337200767,53.373881117241,0.68585861402988
C13-C14_6,36.081078,140.0810117,417.075303551368,-214.412471216768,5.91436230680538,0,0,-0.422018257497316,0.906481683984858,1,1,0,0,1,417.075303551368,-214.412471216768,418.155194638203,-213.82469247842,54.258786482448,1.22949119747889
C13-C14_7,36.0810532,140.0810461,420.170081470265,-217.173194588274,5.96096365355336,0,0,-0.264374432710735,0.963979128629122,1,1,0,0,1,420.170081470265,-217.173194588274,420.887875473351,-216.803119621318,54.3420904210591,0.807578920002987
C13-C14_8,36.081033,140.0810818,423.381813209232,-219.421848302474,5.98419957386537,0,0,-0.053082431367045,0.998305722319378,1,1,0,0,1,423.381813209232,-219.421848302474,424.371488894102,-218.912143727841,55.0435989343505,1.11321907755089
C14,36.0810179,140.0811195,426.773473896645,-221.102772613321,5.95802563222867,0,0,-0.187719014534161,0.982004882810637,1,1,0,0,1,426.773473896645,-221.102772613321,427.640261741925,-220.580607893545,55.4198616318494,1.01191756744571
