label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C4,36.0815492,140.0798405,311.708911073914,-161.958727155002,1.93869389977636,0,0,-0.177364208686042,-0.98374027936844,2,2,0,0,1,311.708911073914,-161.958727155002,311.37994110295,-161.754938400895,39.8591198638994,0.386976870235061
C4-C102_1,36.0815557,140.0798573,313.220314244441,-161.23515046509,1.86250217210052,0,0,-0.472671417496725,-0.880818782380739,2,2,0,0,1,313.220314244441,-161.23515046509,312.906808716198,-160.799184076428,40.1842259036133,0.536984551251072
C4-C102_2,36.0815779,140.0798951,316.620971378764,-158.763857769075,1.68103413659374,0,0,-0.146348394347991,-0.988696318829743,2,2,0,0,1,316.620971378764,-158.763857769075,316.390478137125,-158.824324376225,40.0146525301649,0.238292561825809
C4-C102_3,36.0815929,140.0799363,320.327507725958,-157.094065407437,1.50805801445784,0,0,-0.186233928536838,-0.981948644918574,2,2,0,0,1,320.327507725958,-157.094065407437,319.961500274151,-156.92991705878,40.4395833154337,0.401131069782026
C4-C102_4,36.0816056,140.0799742,323.737161307192,-155.680307874451,1.35650464320424,0,0,-0.304661435127776,-0.952119799368048,2,2,0,0,1,323.737161307192,-155.680307874451,323.814873281331,-155.301281307876,41.1214662674348,0.38691121603577
C4-C102_5,36.0816243,140.0800125,327.182800678627,-153.59863339602,1.15958133041379,0,0,-0.305357284185297,-0.951872440520125,2,2,0,0,1,327.182800678627,-153.59863339602,327.291284295065,-153.143915521757,41.4554679777961,0.467479454318232
C4-C102_6,36.0816492,140.0800582,331.294177162381,-150.826778075305,0.950374798571317,0,0,-0.358854963766514,-0.933206359407827,2,2,0,0,1,331.294177162381,-150.826778075305,330.527402835031,-150.687066288932,41.0687169777558,0.779398647891459
C4-C102_7,36.0816718,140.0800939,334.505908898791,-148.310957584034,0.826581640110632,0,0,-0.357613389682636,-0.93364786490392,2,2,0,0,1,334.505908898791,-148.310957584034,333.885459076049,-148.44576885776,41.1102123201675,0.63492681630595
C4-C102_8,36.0816948,140.0801291,337.672658400646,-145.750609295134,0.676177147218588,0,0,-0.364086965787593,-0.931201310793129,2,2,0,0,1,337.672658400646,-145.750609295134,336.754255804429,-145.649382020228,41.4115755824854,0.92396444191552
C4-C102_9,36.0817215,140.0801672,341.100304878259,-142.778378891023,0.594779996005303,0,0,-0.386919782977118,-0.922007688460505,2,2,0,0,1,341.100304878259,-142.778378891023,340.19524795442,-143.517297360841,40.8914941324217,1.16838715348549
C4-C102_10,36.0817446,140.0801994,343.997160954889,-140.206898653704,0.437288389427835,0,0,-0.388600746998497,-0.921232598952272,2,2,0,0,1,343.997160954889,-140.206898653704,343.204627375014,-140.638072275519,41.4152241075153,0.902230661958545
C4-C102_11,36.0817694,140.0802327,346.992977952652,-137.446175282199,0.289272053450428,0,0,-0.385554153110264,-0.922444555284547,2,2,0,0,1,346.992977952652,-137.446175282199,346.420271734637,-138.16400940603,41.4485754263717,0.918301824830968
C4-C102_12,36.0817957,140.0802672,350.096752321017,-134.518472674134,0.119489558194406,0,0,-0.411231597752791,-0.911314639692912,2,2,0,0,1,350.096752321017,-134.518472674134,349.285020926373,-135.274489781544,41.5267625168469,1.10926539824581
C4-C102_13,36.0818154,140.0803029,353.308484059983,-132.325478705981,0.008199887804777,0,0,-0.461317499807974,-0.88698743388277,2,2,0,0,1,353.308484059983,-132.325478705981,352.634556019114,-132.939057948757,41.9681799414224,0.911404680388706
C4-C102_14,36.0818462,140.0803289,355.647560394896,-128.89683838903,-0.068181238214317,0,0,-0.355411748971639,-0.934546243671712,2,2,0,0,1,355.647560394896,-128.89683838903,355.097333453826,-129.708944786771,41.9516317952666,0.980951827528557
C4-C102_15,36.0818698,140.080363,358.715348975617,-126.269698406455,-0.078283819103299,0,0,-0.467920534392675,-0.883560930868361,2,2,0,0,1,358.715348975617,-126.269698406455,358.086774299307,-127.015455439737,42.2125564054464,0.975325420763947
C4-C102_16,36.081894,140.0803998,362.026041633161,-123.575766729416,-0.157148985829032,0,0,-0.310828905991874,-0.950204070963029,2,2,0,0,1,362.026041633161,-123.575766729416,361.257254271872,-124.455824178885,42.2936684896717,1.16856113286576
C4-C102_17,36.0819018,140.0804414,365.768563770555,-122.707474701364,-0.160447659884269,0,0,-0.156789695392578,-0.987309053224016,2,2,0,0,1,365.768563770555,-122.707474701364,365.123894217293,-123.374167977174,42.9101954445274,0.927404311459755
C4-C102_18,36.0819014,140.0804847,369.664025515662,-122.75200249741,-0.108758640701183,0,0,-0.081819843039336,-0.996308257361032,2,2,0,0,1,369.664025515662,-122.75200249741,369.164517336591,-123.19044959951,43.5973534085527,0.664638459839656
C4-C102_19,36.081898,140.0805305,373.78439844377,-123.130488766576,-0.051935903356651,0,0,-0.061852392288446,-0.997645836171604,2,2,0,0,1,373.78439844377,-123.130488766576,373.26985775728,-123.526039420907,44.0899743520339,0.64900881210912
C4-C102_20,36.0819011,140.0805755,377.832799794033,-122.785398345039,-0.009461987489537,0,0,-0.111406038625879,-0.993424726260907,2,2,0,0,1,377.832799794033,-122.785398345039,377.301290707262,-123.074790726012,44.6088739444209,0.605185805753486
C4-C102_21,36.0819005,140.08062,381.836218907185,-122.852190039504,0.069846754764132,0,0,-0.058375478847515,-0.997942398062512,2,2,0,0,1,381.836218907185,-122.852190039504,381.352824406306,-123.261217156926,44.9494909626211,0.633224625442977
C4-C102_22,36.0818963,140.080663,385.704691309003,-123.319731900763,0.14382701788985,0,0,0.013422204216815,-0.999367050770619,2,2,0,0,1,385.704691309003,-123.319731900763,385.345252111783,-123.679093373826,45.4743362800382,0.508268831250331
C4-C102_23,36.0818852,140.0807065,389.618145947932,-124.555378248771,0.235997829772976,0,0,0.146850113955729,-0.988377261767041,2,2,0,0,1,389.618145947932,-124.555378248771,389.260090107274,-124.736710430583,46.1069430692399,0.401354388527648
C4-C102_24,36.0818828,140.0807543,393.918447827043,-124.822545026633,0.310689012441114,0,0,0.153050179996955,-0.987169074982428,2,2,0,0,1,393.918447827043,-124.822545026633,393.309968687288,-125.008783400964,46.4899695966884,0.636342357217924
