label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
C4,36.0815436,140.0798466,312.25769436872,-162.58211630361,1.92557054042603,0,0,-0.68691873464866,0.725414455331753,2,2,0,0,1,312.25769436872,-162.58211630361,311.582594408573,-161.761786754356,40.3099936563777,1.06240318409252
C4-C1_1,36.0815435,140.0798457,312.176726341408,-162.59324825282,1.90133070134663,0,0,-0.961919750435632,0.270122673696229,2,2,0,0,1,312.176726341408,-162.59324825282,311.577973054131,-161.5630358684,40.5226838487606,1.19157167473786
C4-C1_2,36.0815436,140.0798384,311.519985678557,-162.58211630361,1.94625717146435,0,0,-0.999216676297628,-0.016677460743734,2,2,0,0,1,311.519985678557,-162.58211630361,310.959234960489,-161.930044206223,40.1447649831463,0.860022899698677
C4-C1_3,36.0815497,140.0798095,308.92001236533,-161.903067409746,1.93079307370859,0,0,-0.998898698462167,0.020989622592908,2,2,0,0,1,308.92001236533,-161.903067409746,308.248187447252,-161.343317529331,39.71113740541,0.874453343052493
C4-C1_4,36.0815492,140.0798009,308.146317884966,-161.958727155002,1.92667999639278,0,0,-0.998826757315762,-0.024452908048391,2,2,0,0,1,308.146317884966,-161.958727155002,307.442570506557,-161.382297679931,39.6340324693397,0.909687480593888
C4-C1_5,36.0815511,140.0797774,306.032152735612,-161.747220122396,1.96022494851679,0,0,-0.999218014437399,0.002230717959929,2,2,0,0,1,306.032152735612,-161.747220122396,305.337323722347,-161.217995383047,39.3721471258914,0.873422110100852
C4-C1_6,36.0815504,140.079747,303.297232713607,-161.825143766071,1.94299763396548,0,0,-0.99933659888354,-0.002220922327075,2,2,0,0,1,303.297232713607,-161.825143766071,302.950146188622,-160.957072259255,39.5666226245921,0.934888868674444
C4-C1_7,36.081556,140.0797252,301.336007169408,-161.201754617462,1.92396947190984,0,0,-0.999159902825656,0.013664233098587,2,2,0,0,1,301.336007169408,-161.201754617462,300.79083342232,-160.369931417876,39.2053378384273,0.9945573135237
C4-C1_8,36.0815548,140.0796996,299.032916624696,-161.335338006393,1.95102641580742,0,0,-0.999087416259943,-0.013769336897451,2,2,0,0,1,299.032916624696,-161.335338006393,298.47828523634,-160.490773060725,38.985494087349,1.01039889370573
C4-C1_9,36.0815639,140.0796705,296.414950417647,-160.322330640201,1.93532508492234,0,0,-0.999417396020717,0.003429291769162,2,2,0,0,1,296.414950417647,-160.322330640201,295.801089562722,-159.787014263915,38.3719756087709,0.814486815074236
C4-C1_10,36.0815641,140.0796632,295.758209754796,-160.300066741782,1.91499138734588,0,0,-0.999635667740529,-0.00480385708396,2,2,0,0,1,295.758209754796,-160.300066741782,295.167994997491,-159.5947266106,38.463121030494,0.919705474810466
C4-C1_11,36.0815676,140.0796416,293.814977106977,-159.910448524198,1.90581658984491,0,0,-0.99963867123107,0.000281015501096,2,2,0,0,1,293.814977106977,-159.910448524198,293.322076888444,-159.23273598397,38.2725622831965,0.838000544517642
C4-C1_12,36.0815646,140.0796191,291.790776431845,-160.244406996526,1.91395607580259,0,0,-0.999395538905052,-0.01544715991146,2,2,0,0,1,291.790776431845,-160.244406996526,291.281795499228,-159.443155706845,38.1842507481507,0.949244551726835
C1,36.0815652,140.0796152,291.439914981864,-160.177615302061,1.92134482532303,0,0,-0.999317436814064,-0.017050122920996,2,2,0,0,1,291.439914981864,-160.177615302061,291.139418102938,-159.538250677055,38.1138548658613,0.706459834635207
