label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C100,36.081946,140.079774,-63.354780330864486,-15.344899876921245,0.0,0.0,0.0,-0.8301406142608546,0.557554087559773,0,0,0,0,0
C100-C1_1,36.081902222222226,140.0797561111111,-64.96238228309059,-20.212766665407532,0.0,0.0,0.0,-0.8301406142608546,0.557554087559773,0,0,0,0,0
C100-C1_2,36.08185844444445,140.0797382222222,-66.56998513040863,-25.080633453893817,0.0,0.0,0.0,-0.8301406142450107,0.5575540875833629,0,0,0,0,0
C100-C1_3,36.081814666666666,140.0797203333333,-68.17758887281788,-29.94850024317019,0.0,0.0,0.0,-0.8301406142608546,0.557554087559773,0,0,0,0,0
C100-C1_4,36.08177088888889,140.07970244444442,-69.78519351031761,-34.816367031656476,0.0,0.0,0.0,-0.8301406141057621,0.5575540877906897,0,0,0,0,0
C100-C1_5,36.081727111111114,140.07968455555556,-71.39279904035305,-39.68423382014276,0.0,0.0,0.0,-0.8301406142608546,0.557554087559773,0,0,0,0,0
C100-C1_6,36.08168333333334,140.07966666666667,-73.00040546803173,-44.55210060862905,0.0,0.0,0.0,-0.8301406142450107,0.5575540875833629,0,0,0,0,0
C100-C1_7,36.081639555555554,140.07964877777778,-74.6080127907988,-49.419967397905424,0.0,0.0,0.0,-0.8301406142608546,0.557554087559773,0,0,0,0,0
C100-C1_8,36.08159577777778,140.0796308888889,-76.21562100865356,-54.28783418639171,0.0,0.0,0.0,-0.8301406142608546,0.557554087559773,0,0,0,0,0
C1,36.081552,140.079613,-77.8232301215953,-59.15570097487799,0.0,0.0,0.0,-0.8301406142608546,0.557554087559773,0,0,0,0,0
