label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C101,36.080607,140.080375,-9.346032991939127,-164.2349066541559,0.0,0.0,0.0,-0.9950873447161773,0.09900089083289934,0,0,0,0,0
C101-C5_1,36.08059514285714,140.080316,-14.648110505058362,-165.55336078454013,0.0,0.0,0.0,-0.9950873447207835,0.09900089078660135,0,0,0,0,0
C101-C5_2,36.08058328571428,140.080257,-19.950188820308817,-166.87181491492439,0.0,0.0,0.0,-0.9950873447161773,0.09900089083289934,0,0,0,0,0
C101-C5_3,36.080571428571425,140.080198,-25.25226793258205,-168.19026904530858,0.0,0.0,0.0,-0.9950873447219073,0.09900089077530574,0,0,0,0,0
C101-C5_4,36.08055957142857,140.080139,-30.554347844432023,-169.50872317490274,0.0,0.0,0.0,-0.9950873447161773,0.09900089083289934,0,0,0,0,0
C101-C5_5,36.080547714285714,140.08008,-35.85642855585857,-170.827177305287,0.0,0.0,0.0,-0.9950873447207835,0.09900089078660135,0,0,0,0,0
C101-C5_6,36.080535857142856,140.080021,-41.158510069415655,-172.14563143567122,0.0,0.0,0.0,-0.9950873447161773,0.09900089083289934,0,0,0,0,0
C5,36.080524,140.079962,-46.46059237999484,-173.46408556605547,0.0,0.0,0.0,-0.9950873447161773,0.09900089083289934,0,0,0,0,0
