label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C18,36.07977,140.081287,72.61187358190205,-257.305060255328,0.0,0.0,0.0,-0.4680794139907816,0.8836864048960166,0,0,0,0,0
C18-C19_1,36.079725333333336,140.08131733333335,75.33783578035845,-262.2717669788866,0.0,0.0,0.0,-0.4680794141831927,0.8836864047940984,0,0,0,0,0
C18-C19_2,36.07968066666667,140.08134766666666,78.06379952480742,-267.2384737024453,0.0,0.0,0.0,-0.4680794139907816,0.8836864048960166,0,0,0,0,0
C19,36.079636,140.081378,80.78976482035598,-272.2051804260039,0.0,0.0,0.0,-0.4680794139907816,0.8836864048960166,0,0,0,0,0
