label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C13,36.081201,140.080949,42.23672032541153,-98.18512022733923,0.0,0.0,0.0,-0.39402966374598325,0.9190977228174528,0,0,0,0,0
C13-C14_1,36.0811594,140.0809886,45.79540079192135,-102.8108291760834,0.0,0.0,0.0,-0.3940296638714983,0.9190977227636429,0,0,0,0,0
C13-C14_2,36.0811178,140.0810282,49.35408313873875,-107.4365381240375,0.0,0.0,0.0,-0.39402966374598325,0.9190977228174528,0,0,0,0,0
C13-C14_3,36.0810762,140.0810678,52.912767370970556,-112.06224707278169,0.0,0.0,0.0,-0.3940296638714983,0.9190977227636429,0,0,0,0,0
C13-C14_4,36.0810346,140.08110739999998,56.47145348350709,-116.68795602073578,0.0,0.0,0.0,-0.39402966374598325,0.9190977228174528,0,0,0,0,0
C14,36.080993,140.081147,60.03014148145524,-121.31366496947996,0.0,0.0,0.0,-0.39402966374598325,0.9190977228174528,0,0,0,0,0
