label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C2,36.080563,140.079554,-83.12579747122643,-169.12748342680533,0.0,0.0,0.0,-0.04763131487081182,0.9988649847920776,0,0,0,0,0
C2-C5_1,36.080557428571424,140.0796122857143,-77.88791214272635,-169.7469980183525,0.0,0.0,0.0,-0.047631314810478845,0.9988649847949547,0,0,0,0,0
C2-C5_2,36.08055185714286,140.07967057142858,-72.65002644306978,-170.3665126091096,0.0,0.0,0.0,-0.04763131487081182,0.9988649847920776,0,0,0,0,0
C2-C5_3,36.080546285714284,140.07972885714287,-67.41214037225673,-170.9860272006568,0.0,0.0,0.0,-0.047631314893880304,0.9988649847909776,0,0,0,0,0
C2-C5_4,36.08054071428571,140.07978714285713,-62.1742539328414,-171.60554179220398,0.0,0.0,0.0,-0.04763131487081182,0.9988649847920776,0,0,0,0,0
C2-C5_5,36.08053514285714,140.07984542857142,-56.93636711971556,-172.22505638375117,0.0,0.0,0.0,-0.047631314810478845,0.9988649847949547,0,0,0,0,0
C2-C5_6,36.08052957142857,140.0799037142857,-51.698479935433355,-172.8445709745083,0.0,0.0,0.0,-0.04763131487081182,0.9988649847920776,0,0,0,0,0
C5,36.080524,140.079962,-46.46059237999484,-173.46408556605547,0.0,0.0,0.0,-0.04763131487081182,0.9988649847920776,0,0,0,0,0
