label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C1,36.081552,140.079613,-77.8232301215953,-59.15570097487799,0.0,0.0,0.0,-0.7278565610236283,0.6857294120678048,0,0,0,0,0
C1-C2_1,36.08150704545455,140.0796103181818,-78.06425446407322,-64.15441835869737,0.0,0.0,0.0,-0.7278565610204069,0.6857294120712242,0,0,0,0,0
C1-C2_2,36.08146209090909,140.07960763636362,-78.30527894433493,-69.15313574330685,0.0,0.0,0.0,-0.727856560807627,0.685729412297076,0,0,0,0,0
C1-C2_3,36.08141713636364,140.07960495454546,-78.54630355982621,-74.15185312712623,0.0,0.0,0.0,-0.7278565610204069,0.6857294120712242,0,0,0,0,0
C1-C2_4,36.08137218181818,140.07960227272727,-78.78732831565519,-79.15057051173571,0.0,0.0,0.0,-0.7278565610236283,0.6857294120678048,0,0,0,0,0
C1-C2_5,36.08132722727273,140.07959959090908,-79.02835320926765,-84.14928789555509,0.0,0.0,0.0,-0.7278565610204069,0.6857294120712242,0,0,0,0,0
C1-C2_6,36.08128227272727,140.0795969090909,-79.26937824066349,-89.14800528016457,0.0,0.0,0.0,-0.727856560807627,0.685729412297076,0,0,0,0,0
C1-C2_7,36.08123731818182,140.07959422727274,-79.51040340728842,-94.14672266398394,0.0,0.0,0.0,-0.7278565610204069,0.6857294120712242,0,0,0,0,0
C1-C2_8,36.08119236363636,140.07959154545455,-79.75142871425066,-99.14544004859341,0.0,0.0,0.0,-0.7278565610236283,0.6857294120678048,0,0,0,0,0
C1-C2_9,36.08114740909091,140.07958886363636,-79.99245415899588,-104.1441574324128,0.0,0.0,0.0,-0.7278565610204069,0.6857294120712242,0,0,0,0,0
C1-C2_10,36.08110245454545,140.07958618181817,-80.23347974152405,-109.14287481702227,0.0,0.0,0.0,-0.727856560807627,0.685729412297076,0,0,0,0,0
C1-C2_11,36.0810575,140.0795835,-80.47450545928086,-114.14159220084166,0.0,0.0,0.0,-0.7278565610236283,0.6857294120678048,0,0,0,0,0
C1-C2_12,36.08101254545455,140.07958081818182,-80.71553131737453,-119.14030958466104,0.0,0.0,0.0,-0.7278565610204069,0.6857294120712242,0,0,0,0,0
C1-C2_13,36.08096759090909,140.07957813636364,-80.95655731325076,-124.1390269692705,0.0,0.0,0.0,-0.7278565610236283,0.6857294120678048,0,0,0,0,0
C1-C2_14,36.08092263636364,140.07957545454545,-81.19758344690946,-129.1377443530899,0.0,0.0,0.0,-0.7278565610204069,0.6857294120712242,0,0,0,0,0
C1-C2_15,36.08087768181818,140.07957277272726,-81.43860971835053,-134.13646173769936,0.0,0.0,0.0,-0.727856560807627,0.685729412297076,0,0,0,0,0
C1-C2_16,36.08083272727273,140.0795700909091,-81.6796361250197,-139.13517912151875,0.0,0.0,0.0,-0.7278565610204069,0.6857294120712242,0,0,0,0,0
C1-C2_17,36.08078777272727,140.0795674090909,-81.92066267202517,-144.13389650612822,0.0,0.0,0.0,-0.7278565610236283,0.6857294120678048,0,0,0,0,0
C1-C2_18,36.08074281818182,140.07956472727273,-82.16168935681262,-149.1326138899476,0.0,0.0,0.0,-0.7278565610204069,0.6857294120712242,0,0,0,0,0
C1-C2_19,36.08069786363636,140.07956204545454,-82.40271617938204,-154.13133127455706,0.0,0.0,0.0,-0.727856560807627,0.685729412297076,0,0,0,0,0
C1-C2_20,36.08065290909091,140.07955936363638,-82.64374313717909,-159.13004865837644,0.0,0.0,0.0,-0.7278565610204069,0.6857294120712242,0,0,0,0,0
C1-C2_21,36.08060795454545,140.0795566818182,-82.88477023531195,-164.12876604298594,0.0,0.0,0.0,-0.7278565610236283,0.6857294120678048,0,0,0,0,0
C2,36.080563,140.079554,-83.12579747122643,-169.12748342680533,0.0,0.0,0.0,-0.7278565610236283,0.6857294120678048,0,0,0,0,0
