label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C4,36.081517,140.079849,-56.61506453719047,-63.047523407882785,0.0,0.0,0.0,0.7655760032477898,0.6433454618252468,0,0,0,0,0
C4-C100_1,36.081564666666665,140.07984066666666,-57.36392366425595,-57.74723190444261,0.0,0.0,0.0,0.7655760032477898,0.6433454618252468,0,0,0,0,0
C4-C100_2,36.08161233333333,140.07983233333331,-58.11278233729993,-52.44694040100244,0.0,0.0,0.0,0.7655760030616777,0.6433454620467187,0,0,0,0,0
C4-C100_3,36.08166,140.079824,-58.86164055376788,-47.146648897562265,0.0,0.0,0.0,0.7655760032477898,0.6433454618252468,0,0,0,0,0
C4-C100_4,36.08170766666667,140.07981566666666,-59.61049831876767,-41.8463573941221,0.0,0.0,0.0,0.7655760032477898,0.6433454618252468,0,0,0,0,0
C4-C100_5,36.081755333333334,140.07980733333332,-60.359355629744776,-36.54606589068193,0.0,0.0,0.0,0.7655760032477898,0.6433454618252468,0,0,0,0,0
C4-C100_6,36.081803,140.07979899999998,-61.108212486698804,-31.245774387241752,0.0,0.0,0.0,0.7655760030616777,0.6433454620467187,0,0,0,0,0
C4-C100_7,36.08185066666667,140.07979066666667,-61.857068887075265,-25.945482883801585,0.0,0.0,0.0,0.7655760032477898,0.6433454618252468,0,0,0,0,0
C4-C100_8,36.081898333333335,140.07978233333333,-62.60592483598199,-20.645191380361414,0.0,0.0,0.0,0.7655760032477898,0.6433454618252468,0,0,0,0,0
C100,36.081946,140.079774,-63.354780330864486,-15.344899876921245,0.0,0.0,0.0,0.7655760032477898,0.6433454618252468,0,0,0,0,0
