label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C9,36.080706,140.080713,21.02856099494469,-153.2266089164848,0.0,0.0,0.0,0.18604547348467945,0.9825411349128653,0,0,0,0,0
C9-C15_1,36.080727777777774,140.08076844444446,26.011108170630145,-150.80503051432322,0.0,0.0,0.0,0.18604547362491808,0.982541134886311,0,0,0,0,0
C9-C15_2,36.080749555555556,140.0808238888889,30.99365396369201,-148.38345211137155,0.0,0.0,0.0,0.18604547348467945,0.9825411349128653,0,0,0,0,0
C9-C15_3,36.08077133333333,140.08087933333334,35.97619837923801,-145.96187370920998,0.0,0.0,0.0,0.18604547362491808,0.982541134886311,0,0,0,0,0
C9-C15_4,36.08079311111111,140.08093477777777,40.958741412159355,-143.54029530625832,0.0,0.0,0.0,0.18604547348467945,0.9825411349128653,0,0,0,0,0
C9-C15_5,36.08081488888889,140.08099022222223,45.94128306756376,-141.11871690409671,0.0,0.0,0.0,0.18604547362491808,0.982541134886311,0,0,0,0,0
C9-C15_6,36.08083666666667,140.08104566666665,50.92382334034241,-138.69713850114508,0.0,0.0,0.0,0.18604547348467945,0.9825411349128653,0,0,0,0,0
C9-C15_7,36.080858444444445,140.0811011111111,55.90636223560305,-136.27556009898348,0.0,0.0,0.0,0.18604547362491808,0.982541134886311,0,0,0,0,0
C9-C15_8,36.08088022222223,140.08115655555554,60.88889974823685,-133.8539816960318,0.0,0.0,0.0,0.18604547348467945,0.9825411349128653,0,0,0,0,0
C15,36.080902,140.081212,65.87143588335158,-131.43240329387024,0.0,0.0,0.0,0.18604547348467945,0.9825411349128653,0,0,0,0,0
