label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
6,36.0829415,140.0766762,26.7110338627112,-7.31517032275664,-0.665440812662438,0,0,-0.009779238102516,0.999946368384252,2,2,0,0,0,-1,27.0343245704972,-6.96860012362449,26.7110338627112,-7.31517032275664,3.41787771412403,0.473949137215458
7,36.0829399,140.0767235,30.8192294867639,-7.60159033490462,-0.751596729265519,0,0,0.022382770042926,0.999738497742232,2,2,0,0,0,-1,31.2896442124964,-7.14671130860224,30.8192294867639,-7.60159033490462,3.85980586896877,0.654373702677439
8,36.082936,140.0767686,34.8335085510293,-8.05820867465985,-0.847162617725705,0,0,0.011687558940312,0.999930733331983,2,2,0,0,0,-1,35.3470420096709,-7.58085732302364,34.8335085510293,-8.05820867465985,4.39054657997938,0.701128323528106
9,36.0829352,140.0768149,38.8885567463026,-8.20265339229711,-0.935439651595653,0,0,-0.095190497363995,0.995420978538654,2,2,0,0,0,-1,39.5123971774471,-7.66991291511703,38.8885567463026,-8.20265339229711,4.88735719946676,0.820359250302352
10,36.0829293,140.0768603,42.882586822918,-8.9034314228318,-1.01846627321341,0,0,0.03974080137343,0.999205329371791,2,2,0,0,0,-1,43.5967843179113,-8.32669791135384,42.882586822918,-8.9034314228318,5.39762693871619,0.917986712930199
11,36.0829271,140.0769037,46.9010486898651,-9.1719684415261,-1.09872042385401,0,0,0.035677508586329,0.99936264904409,2,2,0,0,0,-1,47.5012425099294,-8.57160079079711,46.9010486898651,-9.1719684415261,5.93132055717385,0.848925166127896
12,36.082925,140.0769505,50.9739536484584,-9.39226483532229,-1.1977835986086,0,0,0.032318136691872,0.999473359865764,2,2,0,0,0,-1,51.7115799122602,-8.80537172182194,50.9739536484584,-9.39226483532229,6.50268165740912,0.942621892236906
13,36.0829301,140.0769661,52.4648302973796,-8.61080789891264,-1.24120525157804,0,0,0.542190704471164,0.84019603864731,2,2,0,0,0,-1,53.1150257147418,-8.23764231846948,52.4648302973796,-8.61080789891264,6.91346736357283,0.749671015303536
14,36.0829668,140.076981,53.681783576182,-4.71195475773341,-1.26841359896418,0,0,0.633309917865453,0.773744039952558,2,2,0,0,0,-1,54.4554963837331,-4.15221700607202,53.681783576182,-4.71195475773341,6.8863501666849,0.95495437545655
15,36.083003,140.0769802,53.6456389510356,-0.562880953547574,-1.2757973231357,0,0,0.726763749169791,0.686833337235346,2,2,0,0,0,-1,54.3835248033319,-0.122451439721635,53.6456389510356,-0.562880953547574,7.02987622607065,0.859333280903284
16,36.0830404,140.0769809,53.7569875779936,3.52177220512947,-1.28643647890069,0,0,0.797044453625247,0.603720586063585,2,2,0,0,0,-1,54.4464999368222,4.04089751635077,53.7569875779936,3.52177220512947,7.03409661098615,0.86308654359106
17,36.0830754,140.076974,53.138470980316,7.50392421817162,-1.28244395857311,0,0,0.730123984254124,0.683047779751959,2,2,0,0,0,-1,53.8257450641719,7.9370796937701,53.138470980316,7.50392421817162,7.14714982527968,0.812384965629547
18,36.0831117,140.0769722,52.9015195524497,11.5185843940896,-1.30281305356695,0,0,0.707668751415764,0.706210723793584,2,2,0,0,0,-1,53.6638090095477,11.9779772093299,52.9015195524497,11.5185843940896,7.27583814666012,0.890015154419998
19,36.0831489,140.0769741,53.1674041220137,15.6150054909486,-1.34278998811852,0,0,0.734706357445045,0.677700862540694,2,2,0,0,0,-1,53.8347415110829,16.1190622669835,53.1674041220137,15.6150054909486,7.43017051951626,0.836308809182616
20,36.0831833,140.0769569,51.7797525530057,19.4177178072331,-1.27856575042813,0,0,0.844355351976651,0.534553561101647,2,2,0,0,0,-1,52.2873525503559,19.9484527507283,51.7797525530057,19.4177178072331,7.37169093633056,0.734395899741301
