label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C7,35.6496242,139.5026586,13.8364759657666,-10.2063609100855,-0.617990343828939,0,0,0.997409653263738,-0.05524365103192,1.5,1.5,0,0,1
C7-C0_1,35.6496249,139.5026538,13.288380322192,-10.2659295973375,-0.576294737431743,0,0,0.999290733323821,0.00639338561449,1.5,1.5,0,0,1
C7-C0_2,35.6496319,139.5026208,10.360259985229,-10.1323526175399,-0.420501993016055,0,0,0.998810808263073,-0.008576989304914,1.5,1.5,0,0,1
C7-C0_3,35.6496321,139.5026054,8.74937474221835,-10.3851057502906,-0.301831174028932,0,0,0.998688662468892,0.001736562540015,1.5,1.5,0,0,1
C7-C0_4,35.649639,139.5025687,5.25872560272354,-10.3315621629412,-0.081396710923431,0,0,0.998852259117461,-0.004311937528348,1.5,1.5,0,0,1
C7-C0_5,35.649641,139.5025385,2.64947243654105,-10.65639971611,0.078655115675185,0,0,0.999065785630041,0.002309735881081,1.5,1.5,0,0,1
C7-C0_6,35.6496456,139.5025184,0.778218218947607,-10.5929976419332,0.217177091954814,0,0,0.999262318144573,-0.007679441486906,1.5,1.5,0,0,1
C7-C0_7,35.6496471,139.5024977,-1.12323841675576,-10.7811084089619,0.292806470113082,0,0,0.999098542723937,0.003222533984318,1.5,1.5,0,0,1
C7-C0_8,35.6496543,139.5024853,-2.36166098175738,-10.1634990729297,0.31869757408275,0,0,0.86141181472547,0.507238292345813,1.5,1.5,0,0,1
C7-C0_9,35.64969,139.5024851,-3.17833986435089,-6.19899522246803,0.240070345727758,0,0,0.707464383183352,0.706378578321842,1.5,1.5,0,0,1
C7-C0_10,35.6497262,139.5024939,-3.19301133413252,-2.14015411650189,0.149734289399296,0,0,0.654600746947809,0.755711296703578,1.5,1.5,0,0,1
C7-C0_11,35.6497409,139.5025103,-2.00981984785516,-0.12315344160713,0.106019118996351,0,0,0.168828270313637,0.985533958337645,1.5,1.5,0,0,1
C0,35.6497388,139.5025327,0.0386635019008,0.204389559248976,-0.00275232027161,0,0,0.002985220302818,0.999994972438432,1.5,1.5,0,0,1
