label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum
C5,35.6495967,139.5028518,31.5819466104962,-9.43285693260346,-1.74560209135537,0,0,0.656348421852432,-0.753734042610104,1.5,1.5,0,0,1
C5-C7_1,35.6495967,139.502851,31.2882843439165,-9.53427739191714,-1.69648040852154,0,0,0.981109444784344,-0.188247136872686,1.5,1.5,0,0,1
C5-C7_2,35.6495965,139.5028447,30.8487776150517,-9.60756821031303,-1.70351483215516,0,0,0.99883683266326,0.012400863461122,1.5,1.5,0,0,1
C5-C7_3,35.649597,139.502841,30.613361815418,-9.59711527023422,-1.69569770244264,0,0,0.998661839157817,-0.019051320493207,1.5,1.5,0,0,1
C5-C7_4,35.6495972,139.5028286,29.4785195515775,-9.81630903337995,-1.59944339812695,0,0,0.998997580697962,0.005012600668891,1.5,1.5,0,0,1
C5-C7_5,35.649603,139.5028016,26.9468623359595,-9.75522876642097,-1.45731534944567,0,0,0.999168964019732,-0.005009676555409,1.5,1.5,0,0,1
C5-C7_6,35.6496059,139.502772,24.1903032966144,-9.94113291668156,-1.26289141680985,0,0,0.998831182992424,0.003609765026713,1.5,1.5,0,0,1
C5-C7_7,35.6496089,139.5027535,22.3248327158666,-10.0124427206442,-1.16842970659916,0,0,0.999145589861975,-0.000958525683362,1.5,1.5,0,0,1
C5-C7_8,35.6496092,139.5027513,22.2196327793627,-10.0305631001999,-1.16298231168308,0,0,0.999193810533519,0.001162851138616,1.5,1.5,0,0,1
C5-C7_9,35.6496102,139.5027445,21.5512727422105,-10.0650187091156,-1.12304652332871,0,0,0.999092280862088,-0.000913070878268,1.5,1.5,0,0,1
C5-C7_10,35.6496107,139.5027399,21.2955961878262,-10.0729033054039,-1.13370137321305,0,0,0.99912887461735,0.000442485842372,1.5,1.5,0,0,1
C5-C7_11,35.6496107,139.5027399,21.105259454538,-10.0752788906421,-1.10253736182787,0,0,0.999077203400017,-0.000982029431165,1.5,1.5,0,0,1
C5-C7_12,35.6496112,139.5027376,20.8907428212821,-10.0697894950847,-1.10269831227556,0,0,0.998771846609997,0.002588907062694,1.5,1.5,0,0,1
C5-C7_13,35.6496118,139.5027334,20.5564713340524,-10.077847395016,-1.05969763880069,0,0,0.99859344442966,-0.002329214910772,1.5,1.5,0,0,1
C5-C7_14,35.6496123,139.5027287,20.1316485429647,-10.1099466759571,-1.00656165567942,0,0,0.999065867394472,-1.51417316006062e-06,1.5,1.5,0,0,1
C5-C7_15,35.6496132,139.5027239,19.7999659009731,-10.1167656886575,-0.998817121229318,0,0,0.999070055210971,-0.001749024940312,1.5,1.5,0,0,1
C5-C7_16,35.6496159,139.5027031,17.7578714213667,-10.1962655480532,-0.876300423471578,0,0,0.999007814888628,0.0053923194174,1.5,1.5,0,0,1
C5-C7_17,35.6496225,139.502673,15.0332741468907,-10.0322132508319,-0.690792095819328,0,0,0.998484651711028,-0.006093419061818,1.5,1.5,0,0,1
C7,35.6496242,139.5026586,13.8364759657666,-10.2063609100855,-0.617990343828939,0,0,0.997409653263738,-0.05524365103192,1.5,1.5,0,0,1
