label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,,,,,,,,,,,,,,,,
1000,36.0820385,140.079454,0.860317888795313,0.410611629168957,-0.011282987099608,0,0,0.507459593427069,0.861425529106065,2,2,0,0,1,-1,276.937641699782,-107.49010031006,,,,,,,,,,,,,,,,
1001,36.0820335,140.0794911,1.2200607566453,3.80498653290215,0.047765314342295,0,0,0.707422188704967,0.706413533338302,2,2,0,1,1,1,280.275323700615,-108.046697763412,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,36.082034,140.0794987,1.21865529770338,4.46201491245307,0.060039009223004,0,0,0.694149926241178,0.719318630951306,2,2,0,0,1,-1,280.959053706756,-107.991038018156,,,,,,,,,,,,,,,,
1003,36.0820309,140.0795422,1.1095200562084,8.55377859203417,0.255568675081678,0,0,0.714719029862484,0.698533413331013,2,2,0,0,1,-1,284.872508345685,-108.336128439693,,,,,,,,,,,,,,,,
1004,36.0820297,140.0795883,0.717952011381667,12.6020886875521,0.372135071750943,0,0,0.713042714498724,0.700665828071076,2,2,0,0,1,-1,289.019870617082,-108.469711828624,,,,,,,,,,,,,,,,
1005,36.0820274,140.0796342,0.46578710812742,16.6760200422687,0.449218001156254,0,0,0.706370206792279,0.707475464411313,2,2,0,0,1,-1,293.149239994658,-108.725746657277,,,,,,,,,,,,,,,,
1006,36.0820117,140.0796724,1.75128094879311,20.5146940784614,0.593138604161414,0,0,0.50040703796049,0.865210002260458,2,2,0,0,1,-1,296.585882919182,-110.473462663381,,,,,,,,,,,,,,,,
1007,36.0819938,140.0797087,3.19609638170408,24.2453519542456,0.679307995285094,0,0,0.679773036861018,0.732905450754742,2,2,0,0,1,-1,299.851593342171,-112.466081548137,,,,,,,,,,,,,,,,
1008,36.0819896,140.0797538,3.19359633829396,28.3128924748459,0.803785242742215,0,0,0.63796090120758,0.769617224172711,2,2,0,0,1,-1,303.908991139346,-112.933623409396,,,,,,,,,,,,,,,,
1009,36.0819803,140.0797965,3.71707284129846,32.2851588933732,0.923147501891032,0,0,0.667633276324558,0.74371435579645,2,2,0,0,1,-1,307.750474197874,-113.968894674007,,,,,,,,,,,,,,,,
1010,36.0819734,140.0798401,3.97934223958925,36.2787765752141,1.01592621386419,0,0,0.681690010452304,0.731101426938781,2,2,0,0,1,-1,311.672925283714,-114.736999160756,,,,,,,,,,,,,,,,
1011,36.0819692,140.079886,3.82558274810698,40.4034672448794,1.14546268448793,0,0,0.677450233080251,0.734902674849477,2,2,0,0,1,-1,315.802294661289,-115.204541022015,,,,,,,,,,,,,,,,
1012,36.081962,140.0799284,4.07723378267206,44.4049930878313,1.2452455204871,0,0,0.688900890564672,0.724176906891581,2,2,0,0,1,-1,319.616788379084,-116.006041355601,,,,,,,,,,,,,,,,
1013,36.0819554,140.0799753,4.1706841857834,48.4250117536111,1.38779295608773,0,0,0.690285357556573,0.722768216641548,2,2,0,0,1,-1,323.836122230883,-116.740749994722,,,,,,,,,,,,,,,,
1014,36.08195,140.0800213,4.20867560057266,52.4642734228034,1.54183275462571,0,0,0.714946383904966,0.698037713984034,2,2,0,0,1,-1,327.97448805537,-117.341875244912,,,,,,,,,,,,,,,,
1015,36.0819471,140.0800679,3.88856114676976,56.4944746865732,1.71733925118118,0,0,0.714266720000804,0.698567993844051,2,2,0,0,1,-1,332.166832563879,-117.66470176803,,,,,,,,,,,,,,,,
1016,36.0819435,140.0801155,3.68493465163667,60.5616450658598,1.8615199315514,0,0,0.701459157953762,0.711964594069632,2,2,0,0,1,-1,336.449141549168,-118.065451934823,,,,,,,,,,,,,,,,
1017,36.0819337,140.0801581,4.33222570138655,64.6065160721118,1.98403941336218,0,0,0.635933734797755,0.770943520598011,2,2,0,0,1,-1,340.281628160784,-119.15638294469,,,,,,,,,,,,,,,,
1018,36.0819243,140.080201,4.88122406494609,68.6526637042552,2.11672223859165,0,0,0.640541816212448,0.766964676653604,2,2,0,0,1,-1,344.141104113134,-120.202786158511,,,,,,,,,,,,,,,,
1019,36.0819078,140.0802405,6.28535748754154,72.4475991263491,2.1930643502967,0,0,0.452108471026418,0.891309347752871,2,2,0,0,1,-1,347.694700855171,-122.039557756708,,,,,,,,,,,,,,,,
1020,36.0818775,140.080267,9.29861238960634,75.1571512372265,2.17602053582971,0,0,0.215043922155975,0.976099531316044,2,2,0,0,1,-1,350.078759427195,-125.412538327613,,,,,,,,,,,,,,,,
1021,36.0818435,140.0802846,12.7423902549039,77.2247360735422,2.11263209487476,0,0,0.251209813813649,0.96771529032983,2,2,0,0,1,-1,351.662134178122,-129.19740101452,,,,,,,,,,,,,,,,
1022,36.0818081,140.0802968,16.4868534561972,78.8576151133069,2.10439416929045,0,0,0.177318234888822,0.983920889175884,2,2,0,0,1,-1,352.759700765178,-133.138110988777,,,,,,,,,,,,,,,,
1023,36.0817742,140.0803154,19.9980271409978,80.9777781787568,2.08828494542399,0,0,0.246325596464678,0.968872590852312,2,2,0,0,1,-1,354.433039990328,-136.911841726475,,,,,,,,,,,,,,,,
1024,36.0817421,140.0803295,23.5785942857813,82.8909677973634,2.09875945749405,0,0,0.281534704631973,0.958951869400459,2,2,0,0,1,-1,355.701539081475,-140.485197380776,,,,,,,,,,,,,,,,
1025,36.0817052,140.0803398,27.4699344110422,84.1474554093532,2.03448509766551,0,0,0.081025804292936,0.996650620825906,2,2,0,0,1,-1,356.628173166995,-144.592886590801,,,,,,,,,,,,,,,,
1026,36.0816686,140.0803472,31.348617377906,85.2736557131803,1.95608543890565,0,0,0.027887307587625,0.999502386359546,2,2,0,0,1,-1,357.293910279314,-148.667179953989,,,,,,,,,,,,,,,,
1027,36.0816304,140.0803528,35.2981837168698,86.2442257897687,1.85429965335992,0,0,0.009405286588403,0.999867563351268,2,2,0,0,1,-1,357.797711334451,-152.919584502155,,,,,,,,,,,,,,,,
1028,36.0815959,140.0803485,39.4390422643493,86.4587221018927,1.78719410424507,0,0,-0.058372368650448,0.998237479625737,2,2,0,0,1,-1,357.410864094269,-156.760106935109,,,,,,,,,,,,,,,,
1029,36.0815603,140.0803465,43.4411232195008,86.906308160651,1.75047010789481,0,0,0.078894926759891,0.996707046484829,2,2,0,0,1,-1,357.230935145823,-160.723080806994,,,,,,,,,,,,,,,,
