label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,,,,,,,,,,,,,,,,
1000,36.082041,140.0810589,4.01626304570362,-0.068232736195804,-0.038464390677887,0,0,-0.073442535530271,0.997242462619791,2,2,0,0,1,-1,421.3216267439,-107.211801582989,,,,,,,,,,,,,,,,
1001,36.082077,140.0810632,8.08269951199118,-0.141783996165461,-0.14062832205077,0,0,-0.034737526191116,0.99880046975095,2,2,0,0,1,-1,421.708473984081,-103.204299914266,,,,,,,,,,,,,,,,
1002,36.0820934,140.0810769,9.99500520352627,-1.25379313969989,-0.172840323930008,0,0,-0.558973349407701,0.829112183364808,2,2,0,0,1,-1,422.940987285028,-101.378660265278,,,,,,,,,,,,,,,,
1003,36.082093,140.0811224,10.3388073041176,-5.25932418664451,-0.192889787880483,0,0,-0.774198063156297,0.632563595202971,2,2,0,0,1,-1,427.034370872403,-101.423188061325,,,,,,,,,,,,,,,,
1004,36.0820863,140.0811658,9.96060847041289,-9.30483558200105,-0.143918460542141,0,0,-0.662440363691687,0.748890090761187,2,2,0,0,1,-1,430.938829061864,-102.169028649655,,,,,,,,,,,,,,,,
1005,36.0820857,140.0812114,10.2991948447438,-13.301235599773,-0.180895539981387,0,0,-0.662772122113142,0.748695966731669,2,2,0,0,1,-1,435.041209098707,-102.235820344121,,,,,,,,,,,,,,,,
1006,36.0820819,140.0812541,10.2633880149767,-17.340252484829,-0.196173830084182,0,0,-0.724525201152499,0.689152566069717,2,2,0,0,1,-1,438.882692157235,-102.658834409333,,,,,,,,,,,,,,,,
1007,36.0820785,140.0813007,10.308995537127,-21.3587660861054,-0.193667988827733,0,0,-0.767078344370986,0.641309840242661,2,2,0,0,1,-1,443.075036665744,-103.037320677707,,,,,,,,,,,,,,,,
1008,36.0820707,140.0813445,9.90375829207274,-25.3597515757652,-0.143280163014391,0,0,-0.767521054318493,0.640722551084885,2,2,0,0,1,-1,447.015480647963,-103.90561270655,,,,,,,,,,,,,,,,
1009,36.0820733,140.0813886,10.6267554458229,-29.2943055230444,-0.126089427770967,0,0,-0.682620853568303,0.730286518169232,2,2,0,0,1,-1,450.982913970914,-103.616182030269,,,,,,,,,,,,,,,,
