label,latitude,longitude,x,y,z,q1,q2,q3,q4,right_is_open,left_is_open,line_is_stop,signal_is_stop,isnot_skipnum,node,utm_x,utm_y,x_rotated,y_rotated,error_before,error_after
0,35.6497271,139.5025968,4.20628243673241,-0.033395846837277,-0.308444396689034,0,0,-0.03933047354636,0.998881756804038,0,0,0,0,1,-1,4.20628243673241,-0.033395846837277,3.98021066404295,-0.705587034005115,0.171319371157232,0.709189282570642
1,35.6497169,139.5026376,7.89695605835758,-1.16885465275122,-0.593572896104783,0,0,-0.089749673905172,0.995788693739795,0,0,0,0,1,-1,7.89695605835758,-1.16885465275122,7.95727492517047,-1.51938687684454,0.922968487382095,0.355684137714071
2,35.6497069,139.502679,11.6419042939937,-2.28204956103729,-0.881521263775533,0,0,0.014595581808012,0.99972872895251,0,0,0,0,1,-1,11.6419042939937,-2.28204956103729,11.8737711396915,-2.53880050125019,1.68461679354222,0.345952712713808
3,35.6497026,139.502724,15.7125002008407,-2.76072337150539,-1.15910354564496,0,0,-0.018152852769643,0.99945143253986,0,0,0,0,1,-1,15.7125002008407,-2.76072337150539,15.8868536124498,-3.04446988084065,2.26141562496942,0.333033322206158
4,35.649695,139.502766,19.5117230453458,-3.6067515011384,-1.44294364651898,0,0,0.13020173742694,0.991167069866716,0,0,1,0,1,-1,19.5117230453458,-3.6067515011384,19.7980222797968,-3.90869225095861,2.88851009089648,0.41609550351961
5,35.6496908,139.5028107,23.5551816477582,-4.07429336239708,-1.73111366472284,0,0,-0.017388190065466,0.9995889804434,0,0,0,0,1,-1,23.5551816477582,-4.07429336239708,23.8413759437793,-4.43349807893171,3.45808615464004,0.459276826604307
6,35.6496851,139.5028551,27.5715029431652,-4.70881446021506,-2.00192846632039,0,0,-0.008502557428988,0.99965980625506,0,0,0,0,1,-1,27.5715029431652,-4.70881446021506,27.8309815991518,-5.02686792818809,4.11652635384677,0.410471900868123
7,35.6496777,139.5029005,31.6782819225916,-5.5325786922202,-2.30910051878729,0,0,-0.050783119835978,0.998374124472333,0,0,0,0,1,-1,31.6782819225916,-5.5325786922202,31.8890933579361,-5.84748841552335,4.75484687973635,0.378958566472476
8,35.6496707,139.5029429,35.513687844818,-6.31181512738768,-2.58507444074788,0,0,-0.005283304763785,0.999664247820687,0,0,0,0,1,-1,35.513687844818,-6.31181512738768,35.8423409753468,-6.68286442966767,5.34660044881701,0.495671731016478
9,35.6496622,139.5029664,37.6394434848317,-7.25803079911446,-2.72260280528569,0,0,-0.520762258896728,0.853210814911451,0,0,0,0,1,-1,37.6394434848317,-7.25803079911446,37.9208086611805,-7.75485227867051,5.56932980777265,0.570962297363006
10,35.6496264,139.50297,37.9650911586136,-11.2432685702091,-2.73601392998843,0,0,-0.712444992877117,0.700585029361671,0,0,0,0,1,-1,37.9650911586136,-11.2432685702091,38.2894083379562,-11.7583821860219,5.81078291366983,0.608706554928171
11,35.6495906,139.5029715,38.100777688499,-15.2285063405128,-2.73864888537426,0,0,-0.547496319443329,0.83587687932123,0,0,0,0,1,-1,38.100777688499,-15.2285063405128,38.5768713657601,-15.7646662796842,6.14433683069741,0.717030452561314
12,35.6495728,139.5029714,38.0917319203542,-17.2099932760597,-2.71230700759024,0,0,-0.895635146629485,0.442671612106636,0,0,0,0,1,-1,38.0917319203542,-17.2099932760597,38.496914544832,-17.7056986687005,6.28666523550854,0.640231829474245
13,35.6495709,139.5029693,37.9017707764578,-17.4215003086657,-2.72090553336263,0,0,-0.99855075092172,0.027383818680666,0,0,1,0,1,1,37.9017707764578,-17.4215003086657,38.4392131668768,-17.787614926248,6.45933953575546,0.650295499159206
14,35.6495705,139.5029684,37.8203588580123,-17.4660281055034,-2.71105331625483,0,0,-0.999012574619366,-0.001881545230275,0,0,0,0,1,-1,37.8203588580123,-17.4660281055034,38.2444363470027,-17.7766832150949,6.43354227871883,0.525688418917218
15,35.6495706,139.5029659,37.5942146415366,-17.454896156294,-2.69903245575219,0,0,-0.998942649519608,0.000987897544879,0,0,0,0,1,-1,37.5942146415366,-17.454896156294,38.116703660518,-17.7448382761173,6.47472382233878,0.597545988024127
16,35.6495712,139.5029459,35.7850609045888,-17.3881044618285,-2.56637932696014,0,0,-0.998622040533174,-0.006218209395964,0,0,0,0,1,-1,35.7850609045888,-17.3881044618285,36.3025412918276,-17.5334723538748,6.34266519716533,0.537510721023087
17,35.6495756,139.5029178,33.2431999067739,-16.898298702151,-2.40050701261171,0,0,-0.998797547116789,0.016740401720026,0,0,0,0,1,-1,33.2431999067739,-16.898298702151,33.6527581439605,-16.9244427135128,5.99941011604428,0.410391835904967
18,35.649576,139.5029069,32.2572111198546,-16.8537709061043,-2.3192104542654,0,0,-0.99880681588784,-0.015281187124474,0,0,0,0,1,-1,32.2572111198546,-16.8537709061043,32.7227458576277,-16.8643964717673,5.9094572083382,0.465655983231354
19,35.6495766,139.5029027,31.8772888346328,-16.7869792116387,-2.30698101259806,0,0,-0.998792757606886,0.007282496157508,0,0,0,0,1,-1,31.8772888346328,-16.7869792116387,32.3511419427376,-16.8882295977896,5.78573778105945,0.484549696890096
20,35.6495773,139.5028913,30.8460712044183,-16.7090555679638,-2.21194199290735,0,0,-0.998772096410568,-0.017584935183388,0,0,0,0,1,-1,30.8460712044183,-16.7090555679638,31.2552499548633,-16.7126728618081,5.6833946062646,0.409194739250763
21,35.6495803,139.5028756,29.4258855208372,-16.3750970956362,-2.12478610103208,0,0,-0.995821495289488,0.077854208332587,0,0,0,0,1,-1,29.4258855208372,-16.3750970956362,29.9121495676049,-16.5340596084491,5.39400910142966,0.511587532743579
22,35.6495505,139.502848,26.9292533663174,-19.6924179212846,-1.91621460699275,0,0,-0.88364555054217,0.466349508895618,0,0,0,0,1,-1,26.9292533663174,-19.6924179212846,27.3620332457219,-19.7005931825028,5.47214112747739,0.432857088325229
23,35.6495237,139.5028185,24.2607516041909,-22.6757802746054,-1.7173148612156,0,0,-0.962248337692921,0.268114131854531,0,0,0,0,1,-1,24.2607516041909,-22.6757802746054,24.5422840003939,-22.5640264064438,5.44667141481737,0.302901662525751
24,35.6495046,139.5027813,20.8957256537766,-24.8019825482928,-1.45044369754744,0,0,-0.992332060501759,0.114885381432317,0,0,0,0,1,-1,20.8957256537766,-24.8019825482928,21.0090443085417,-24.5632180915514,5.27450080759402,0.264290717432128
25,35.6495041,139.5027746,20.2896591520791,-24.8576422935489,-1.42111067301763,0,0,-0.999118847199262,-0.00133360888051,0,0,0,0,1,-1,20.2896591520791,-24.8576422935489,20.5000034478938,-24.5335928380729,5.34778207688629,0.386332463528645
26,35.649505,139.5027682,19.710729957387,-24.7574547522461,-1.39236761392203,0,0,-0.998788329701908,0.005619523093689,0,0,0,0,1,-1,19.710729957387,-24.7574547522461,19.9600579427096,-24.591710867319,5.21898021288571,0.299391849681584
27,35.6495061,139.5027504,18.1005831324805,-24.6350033125245,-1.26017186193805,0,0,-0.998824383672159,-0.007264931001778,0,0,0,0,1,-1,18.1005831324805,-24.6350033125245,18.200736749734,-24.3001624424075,5.0194652793939,0.349498433973141
28,35.6495227,139.5027096,14.4099095108553,-22.7870997651176,-1.00796043051445,0,0,-0.97105672113326,-0.23402128452476,0,0,0,0,1,-1,14.4099095108553,-22.7870997651176,14.4921503301297,-22.4863472622407,4.41042346740492,0.311794195490576
29,35.6495517,139.5026826,11.9675519652045,-19.5588345323535,-0.824212725353231,0,0,-0.895878770535911,-0.442071746451602,0,0,0,0,1,-1,11.9675519652045,-19.5588345323535,12.0236366324927,-19.2665454028445,3.75466816826265,0.297621278026194
30,35.6495866,139.5026731,11.1082039400258,-15.6737843033527,-0.771960501485818,0,0,-0.689328147802844,-0.723613160699567,0,0,0,0,1,-1,11.1082039400258,-15.6737843033527,11.1172683886512,-15.3233415017941,3.18787657378578,0.350560011115294
31,35.6496023,139.5026723,11.0358377922962,-13.9260682980396,-0.767845351461662,0,0,-0.96339169666437,-0.263141386368758,0,0,0,0,1,-1,11.0358377922962,-13.9260682980396,10.9417667424984,-13.5899669230483,2.89094696586589,0.349017903095346
32,35.6496158,139.5026284,7.06474534018432,-12.4232551721698,-0.525063518088454,0,0,-0.998455546792518,-0.010973585790618,0,0,0,0,1,-1,7.06474534018432,-12.4232551721698,7.15219196640919,-12.2461636939586,2.37939091077937,0.19750520016731
33,35.6496177,139.5026123,5.60837658145289,-12.2117481395638,-0.399670142464883,0,0,-0.998582535347727,0.00626637761081,0,0,0,0,1,-1,5.60837658145289,-12.2117481395638,5.62071156844496,-12.0033348769086,2.18104400492074,0.20877796807777
34,35.6496181,139.5025958,4.11582475014212,-12.1672203435171,-0.303261068640855,0,0,-0.998776108756367,-0.013408768984045,0,0,0,0,1,-1,4.11582475014212,-12.1672203435171,4.33182642468587,-11.8833100852674,2.28677347345792,0.356737660116117
35,35.6496227,139.5025709,1.86342834838774,-11.6551506854207,-0.110748999718689,0,0,-0.998730785569992,0.010505343556242,0,0,0,0,1,-1,1.86342834838774,-11.6551506854207,1.89568479149357,-11.3276506189666,1.92096467351638,0.329084748430041
36,35.6496231,139.5025519,0.144732298030274,-11.610622889374,-0.012007191933354,0,0,-0.998719650834319,-0.009921680434312,0,0,0,0,1,-1,0.144732298030274,-11.610622889374,0.382961860973309,-11.2748917646039,2.05109759656699,0.411665778027998
37,35.6496292,139.5025276,-2.05338948971316,-10.9315739955094,0.147068897203302,0,0,-0.999185428775884,0.002241064380815,0,0,0,0,1,-1,-2.05338948971316,-10.9315739955094,-1.92756848479927,-10.6195813803971,1.8006025209614,0.336407962394093
38,35.6496287,139.5025018,-4.38719780991299,-10.9872337407655,0.268316978301696,0,0,-0.999111121105557,-0.00504750812983,0,0,0,0,1,-1,-4.38719780991299,-10.9872337407655,-3.99046280386505,-10.7252791132525,2.11943514196007,0.475414442249433
39,35.6496334,139.5024939,-5.10181353706145,-10.4640321342507,0.30856338164527,0,0,-0.845697836741751,-0.53315494029749,0,0,0,0,1,-1,-5.10181353706145,-10.4640321342507,-4.86380330307804,-10.1624020842079,1.90060435726487,0.384225921262066
40,35.6496699,139.502498,-4.73093701998448,-6.40087072027204,0.267809595147173,0,0,-0.756214514565552,-0.653484226457743,0,0,0,0,1,-1,-4.73093701998448,-6.40087072027204,-4.47789723868516,-6.15456975923183,1.31514656079615,0.353119376881726
41,35.6497051,139.502509,-3.73590246492031,-2.48242464443387,0.196022962383925,0,0,-0.623018618725945,-0.781832779752257,0,0,0,0,1,-1,-3.73590246492031,-2.48242464443387,-3.50236558701762,-2.18224599734424,0.651055672021889,0.38032445820522
42,35.6497223,139.5025306,-1.78201642994228,-0.567729402561483,0.086008668322991,0,0,-0.121569869199206,-0.99244678687502,0,0,0,0,1,-1,-1.78201642994228,-0.567729402561483,-1.69482787185648,-0.265397715980317,0.154851548736845,0.314652655116867
43,35.6497235,139.502549,-0.117594993595764,-0.434146013630432,0.006800906270843,0,0,0.040366716890481,-0.999180866256104,0,0,0,0,1,1,-0.117594993595764,-0.434146013630432,-0.017289668076532,-0.112071656000777,0.341725792705561,0.337332254861693
